system_id,sample_method_id,ProjektNr,Befu,ProbNr,method_type,method_name
1,,18_0025,P16,18_0025_0003,"ORG2,0",
2,,18_0025,P18,18_0025_0004,"ORG2,0",
3,,18_0025,P20,18_0025_0005,"ORG2,0",
4,,18_0025,P5,18_0025_0001,"ORG2,0",
5,,18_0025,P6,18_0025_0002,"ORG2,0",
6,,19_0013,A11148,19_0013_0013,"ORG2,0",
7,,19_0013,A11148,19_0013_0014,"ORG2,0",
8,,19_0013,A11148,19_0013_0015,"ORG2,0",
9,,19_0013,A11148,19_0013_0020,"ORG2,0",
10,,19_0013,A479,19_0013_0010,"ORG2,0",
11,,19_0013,A479,19_0013_0011,"ORG2,0",
12,,19_0013,A479,19_0013_0012,"ORG2,0",
13,,19_0013,A479,19_0013_0019,"ORG2,0",
14,,19_0013,A6214,19_0013_0007,"ORG2,0",
15,,19_0013,A6214,19_0013_0008,"ORG2,0",
16,,19_0013,A6214,19_0013_0009,"ORG2,0",
17,,19_0013,A6214,19_0013_0018,"ORG2,0",
18,,19_0013,A8090,19_0013_0004,"ORG2,0",
19,,19_0013,A8090,19_0013_0005,"ORG2,0",
20,,19_0013,A8090,19_0013_0006,"ORG2,0",
21,,19_0013,A8090,19_0013_0017,"ORG2,0",
22,,19_0013,A9063,19_0013_0001,"ORG2,0",
23,,19_0013,A9063,19_0013_0002,"ORG2,0",
24,,19_0013,A9063,19_0013_0003,"ORG2,0",
25,,19_0013,A9063,19_0013_0016,"ORG2,0",
26,,19_0014,A10143,19_0014_0040,"ORG2,0",
27,,19_0014,A10153,19_0014_0037,"ORG2,0",
28,,19_0014,A10189,19_0014_0042,"ORG2,0",
29,,19_0014,A10229,19_0014_0039,"ORG2,0",
30,,19_0014,A10697,19_0014_0067,"ORG2,0",
31,,19_0014,A10990,19_0014_0055,"ORG2,0",
32,,19_0014,A11339,19_0014_0068,"ORG2,0",
33,,19_0014,A1196,19_0014_0044,"ORG2,0",
34,,19_0014,A12024,19_0014_0056,"ORG2,0",
35,,19_0014,A12024,19_0014_0057,"ORG2,0",
36,,19_0014,A12034,19_0014_0058,"ORG2,0",
37,,19_0014,A12435,19_0014_0069,"ORG2,0",
38,,19_0014,A13064,19_0014_0071,"ORG2,0",
39,,19_0014,A13200,19_0014_0041,"ORG2,0",
40,,19_0014,A13299,19_0014_0072,"ORG2,0",
41,,19_0014,A13837,19_0014_0060,"ORG2,0",
42,,19_0014,A15333,19_0014_0061,"ORG2,0",
43,,19_0014,A15344,19_0014_0074,"ORG2,0",
44,,19_0014,A15554,19_0014_0075,"ORG2,0",
45,,19_0014,A15736,19_0014_0059,"ORG2,0",
46,,19_0014,A16771,19_0014_0008,"ORG2,0",
47,,19_0014,A16783,19_0014_0005,"ORG2,0",
48,,19_0014,A17294,19_0014_0016,"ORG2,0",
49,,19_0014,A1875,19_0014_0046,"ORG2,0",
50,,19_0014,A1931,19_0014_0047,"ORG2,0",
51,,19_0014,A1998,19_0014_0048,"ORG2,0",
52,,19_0014,A2019,19_0014_0049,"ORG2,0",
53,,19_0014,A2029,19_0014_0050,"ORG2,0",
54,,19_0014,A2114,19_0014_0051,"ORG2,0",
55,,19_0014,A3019,19_0014_0052,"ORG2,0",
56,,19_0014,A3170,19_0014_0066,"ORG2,0",
57,,19_0014,A3650,19_0014_0053,"ORG2,0",
58,,19_0014,A4115,19_0014_0023,"ORG2,0",
59,,19_0014,A4365,19_0014_0054,"ORG2,0",
60,,19_0014,A5192,19_0014_0020,"ORG2,0",
61,,19_0014,A5213,19_0014_0019,"ORG2,0",
62,,19_0014,A5223,19_0014_0018,"ORG2,0",
63,,19_0014,A5254,19_0014_0029,"ORG2,0",
64,,19_0014,A5282,19_0014_0021,"ORG2,0",
65,,19_0014,A5294,19_0014_0022,"ORG2,0",
66,,19_0014,A5307,19_0014_0024,"ORG2,0",
67,,19_0014,A5334,19_0014_0063,"ORG2,0",
68,,19_0014,A6041,19_0014_0034,"ORG2,0",
69,,19_0014,A6135,19_0014_0015,"ORG2,0",
70,,19_0014,A6146,19_0014_0033,"ORG2,0",
71,,19_0014,A6157,19_0014_0035,"ORG2,0",
72,,19_0014,A6178,19_0014_0017,"ORG2,0",
73,,19_0014,A6194,19_0014_0025,"ORG2,0",
74,,19_0014,A7199,19_0014_0032,"ORG2,0",
75,,19_0014,A7253,19_0014_0014,"ORG2,0",
76,,19_0014,A7263,19_0014_0030,"ORG2,0",
77,,19_0014,A7294,19_0014_0013,"ORG2,0",
78,,19_0014,A7306,19_0014_0036,"ORG2,0",
79,,19_0014,A785,19_0014_0043,"ORG2,0",
80,,19_0014,A8079,19_0014_0007,"ORG2,0",
81,,19_0014,A8103,19_0014_0009,"ORG2,0",
82,,19_0014,A8114,19_0014_0011,"ORG2,0",
83,,19_0014,A8142,19_0014_0026,"ORG2,0",
84,,19_0014,A8178,19_0014_0031,"ORG2,0",
85,,19_0014,A8189,19_0014_0012,"ORG2,0",
86,,19_0014,A8234,19_0014_0010,"ORG2,0",
87,,19_0014,A9000,19_0014_0027,"ORG2,0",
88,,19_0014,A9052,19_0014_0028,"ORG2,0",
89,,19_0014,A9075,19_0014_0003,"ORG2,0",
90,,19_0014,A9111,19_0014_0001,"ORG2,0",
91,,19_0014,A9126,19_0014_0004,"ORG2,0",
92,,19_0014,A9199,19_0014_0006,"ORG2,0",
93,,19_0014,A957,19_0014_0064,"ORG2,0",
94,,19_0014,A973,19_0014_0065,"ORG2,0",
95,,19_0014,A9847,19_0014_0002,"ORG2,0",
96,,22_0005,11200,22_0005_0001,"ORG2,0",
97,,22_0005,11201,22_0005_0002,"ORG2,0",
98,,22_0005,11221,22_0005_0003,"ORG2,0",
99,,22_0005,12026,22_0005_0004,"ORG2,0",
100,,22_0005,200125,22_0005_0012,"ORG2,0",
101,,22_0005,200149,22_0005_0013,"ORG2,0",
102,,22_0005,200177,22_0005_0009,"ORG2,0",
103,,22_0005,200473,22_0005_0005,"ORG2,0",
104,,22_0005,200475,22_0005_0006,"ORG2,0",
105,,22_0005,23362,22_0005_0010,"ORG2,0",
106,,22_0005,23434,22_0005_0007,"ORG2,0",
107,,22_0005,23491,22_0005_0008,"ORG2,0",
108,,22_0005,23988,22_0005_0011,"ORG2,0",
109,,22_0015,A2076,22_0015_0017,"ORG2,0",ja
110,,22_0015,A2154,22_0015_0020,"ORG2,0",ja
111,,22_0015,A2874 G2976,22_0015_0014,"ORG2,0",ja
112,,22_0015,A4796,22_0015_0013,"ORG2,0",ja
113,,22_0015,M153 St 1,22_0015_0006,"ORG2,0",ja
114,,22_0015,M153 St 2,22_0015_0007,"ORG2,0",ja
115,,22_0015,M160 St 1,22_0015_0001,"ORG2,0",ja
116,,22_0015,M167 St 1,22_0015_0002,"ORG2,0",ja
117,,22_0015,M167 St 2,22_0015_0003,"ORG2,0",ja
118,,22_0015,M167 St 3,22_0015_0004,"ORG2,0",ja
119,,22_0015,M167 St 4,22_0015_0005,"ORG2,0",ja
120,,22_0015,M32 Undre del,2022_0015_0009,"ORG2,0",ja
121,,22_0015,M32 Övre del,2022_0015_0008,"ORG2,0",ja
122,,22_0015,M99 A5085,2022_0015_0010,"ORG2,0",ja
123,,22_0015,M99 A5085,2022_0015_0012,"ORG2,0",ja
124,,DanaBunar2,31,17 depth 0.10-0.20,"ORG2,0",
125,,DanaBunar2,31,17a depth 0.00-0.20,"ORG2,0",
126,,DanaBunar2,32,51 depth 0.00-0.10,"ORG2,0",
127,,DanaBunar2,32,52 depth 0.10-0.20,"ORG2,0",
128,,DanaBunar2,32,53 depth 0.00-0.10,"ORG2,0",
129,,DanaBunar2,33,18 depth 0.20-0.30,"ORG2,0",
130,,DanaBunar2,33,19 depth 0.00-0.10,"ORG2,0",
131,,DanaBunar2,33,20 depth 0.10-0.30,"ORG2,0",
132,,DanaBunar2,33,21 depth 0.30-0.40,"ORG2,0",
133,,DanaBunar2,33,22 depth 0.20-0.30,"ORG2,0",
134,,DanaBunar2,37,39 depth 0.10-0.20,"ORG2,0",
135,,DanaBunar2,37,40 depth 0.20-0.30,"ORG2,0",
136,,DanaBunar2,37,41 depth 0.00-0.10,"ORG2,0",
137,,DanaBunar2,37,42 depth 0.00-0.10,"ORG2,0",
138,,DanaBunar2,38,1 depth 0.48-0.58,"ORG2,0",
139,,DanaBunar2,38,2 depth 0.35-0.45,"ORG2,0",
140,,DanaBunar2,38,3 depth 0.35-0.45,"ORG2,0",
141,,DanaBunar2,38,4 depth 0.00-0.10,"ORG2,0",
142,,DanaBunar2,38,5 depth 0.30-0.50,"ORG2,0",
143,,DanaBunar2,39,47 depth 0.00-0.10,"ORG2,0",
144,,DanaBunar2,39,48 depth 0.10-0.20,"ORG2,0",
145,,DanaBunar2,41,44 depth 0.00-0.10,"ORG2,0",
146,,DanaBunar2,41,46 depth 0.30-0.40,"ORG2,0",
147,,DanaBunar2,42,10 depth 0.10-0.20,"ORG2,0",
148,,DanaBunar2,42,6 depth 0.00-0.10,"ORG2,0",
149,,DanaBunar2,42,7 depth 0.00-0.10,"ORG2,0",
150,,DanaBunar2,42,8 depth 0.10-0.20,"ORG2,0",
151,,DanaBunar2,42,9 depth 0.10-0.20,"ORG2,0",
152,,DanaBunar2,44,87 depth 0.06-0.16,"ORG2,0",
153,,DanaBunar2,44,88 depth 0.20-0.30,"ORG2,0",
154,,DanaBunar2,44,89 depth 0.30-0.40,"ORG2,0",
155,,DanaBunar2,44,90 depth 0.16-0.26,"ORG2,0",
156,,DanaBunar2,44,91 depth 0.10-0.20,"ORG2,0",
157,,DanaBunar2,44,92 depth 0.00-0.10,"ORG2,0",
158,,DanaBunar2,44,93 depth 0.30-0.40,"ORG2,0",
159,,DanaBunar2,46,30 depth 0.60-0.70,"ORG2,0",
160,,DanaBunar2,46,31 depth 0.50-0.60,"ORG2,0",
161,,DanaBunar2,46,32 depth 0.60-0.70,"ORG2,0",
162,,DanaBunar2,46,33 depth 0.30-0.40,"ORG2,0",
163,,DanaBunar2,46,34 depth 0.40-0.50,"ORG2,0",
164,,DanaBunar2,46,35 depth 0.30-0.40,"ORG2,0",
165,,DanaBunar2,47,49 depth 0.10-0.20,"ORG2,0",
166,,DanaBunar2,47,50 depth 0.10-0.20,"ORG2,0",
167,,DanaBunar2,55,54 depth 1.00-1.10,"ORG2,0",
168,,DanaBunar2,55,55 depth 1.00-1.10,"ORG2,0",
169,,DanaBunar2,58,23 depth 0.10-0.20,"ORG2,0",
170,,DanaBunar2,58,24 depth 0.30-0.40,"ORG2,0",
171,,DanaBunar2,58,25 depth 0.00-0.10,"ORG2,0",
172,,DanaBunar2,58,26 depth 0.10-0.20,"ORG2,0",
173,,DanaBunar2,58,27 depth 0.30-0.40,"ORG2,0",
174,,DanaBunar2,58,28 depth 0.20-0.30,"ORG2,0",
175,,DanaBunar2,64,11 depth 0.10-0.20,"ORG2,0",
176,,DanaBunar2,64,12 depth 0.36-0.46,"ORG2,0",
177,,DanaBunar2,64,13 depth 0.26-0.36,"ORG2,0",
178,,DanaBunar2,64,16 depth 0.48-0.58,"ORG2,0",
179,,Iswid,2709_fond,Isw 2013/32,"ORG2,0",
180,,Iswid,2905 fond,Isw 2013/26,"ORG2,0",
181,,Iswid,2913 fond,Isw 2013/33,"ORG2,0",
182,,Iswid,foyer 2174,Isw 2013/15,"ORG2,0",
183,,Iswid,US 10503,Isw 2013/8,"ORG2,0",
184,,Iswid,US 10521,Isw 2013/20,"ORG2,0",
185,,Iswid,US 10534,Isw 2013/21,"ORG2,0",
186,,Iswid,US 10610,Isw 2013/25,"ORG2,0",
187,,Iswid,US 11004,Isw 2013/22,"ORG2,0",
188,,Iswid,US 11012,Isw 2013/27,"ORG2,0",
189,,Iswid,US 11067,Isw 2013/28,"ORG2,0",
190,,Iswid,US 12025,Isw 2013/25,"ORG2,0",
191,,Iswid,US 12040,Isw 2013/29,"ORG2,0",
192,,Iswid,US 12047,Isw 2013/30,"ORG2,0",
193,,Iswid,US 12504,Isw 2013/31,"ORG2,0",
194,,Iswid,US 13017,Isw 2015/18,"ORG2,0",
195,,Iswid,US 13017,Isw 2016/41,"ORG2,0",
196,,Iswid,US 13065,Isw 2015/25,"ORG2,0",
197,,Iswid,US 13066,Isw 2015/4,"ORG2,0",
198,,Iswid,US 13083,Isw 2015/22,"ORG2,0",
199,,Iswid,US 13099,Isw 2015/9,"ORG2,0",
200,,Iswid,US 13145,Isw 2015/21,"ORG2,0",
201,,Iswid,US 13516,Isw 2015/8,"ORG2,0",
202,,Iswid,US 13526,Isw 2015/2,"ORG2,0",
203,,Iswid,US 13572,Isw 2015/12,"ORG2,0",
204,,Iswid,US 13610,Isw 2015/11,"ORG2,0",
205,,Iswid,US 13632,Isw 2016/15,"ORG2,0",
206,,Iswid,US 13639,Isw2015/26,"ORG2,0",
207,,Iswid,US 13657,Isw 2015/17,"ORG2,0",
208,,Iswid,US 13705,Isw 2015/10,"ORG2,0",
209,,Iswid,US 13791,Isw 2015/5,"ORG2,0",
210,,Iswid,US 13791 (3),Isw 2015/7,"ORG2,0",
211,,Iswid,US 13802,Isw 2015/20,"ORG2,0",
212,,Iswid,US 13971,Isw 2015/7,"ORG2,0",
213,,Iswid,US 14021,Isw 2015/1,"ORG2,0",
214,,Iswid,US 14038,Isw 2015/3,"ORG2,0",
215,,Iswid,US 14050,Isw 2015/24,"ORG2,0",
216,,Iswid,US 14078,Isw 2916/23,"ORG2,0",
217,,Iswid,US 14131,Isw 2015/13,"ORG2,0",
218,,Iswid,US 14131,Isw 2016/12,"ORG2,0",
219,,Iswid,US 14158,Isw 2015/14,"ORG2,0",
220,,Iswid,US 14418,Isw 2016/34,"ORG2,0",
221,,Iswid,US 14495,Isw 16/37,"ORG2,0",
222,,Iswid,US 14509,16-Jan,"ORG2,0",
223,,Iswid,US 14636,Isw 16/35,"ORG2,0",
224,,Iswid,US 15067,Isw 2017/7,"ORG2,0",
225,,Iswid,US 15071,Isw 17/4,"ORG2,0",
226,,Iswid,US 15108,Isw 17/1,"ORG2,0",
227,,Iswid,US 15140,Isw17/26,"ORG2,0",
228,,Iswid,US 16183,Isw 2017/8,"ORG2,0",
229,,Iswid,US 16287_F4185 (TR.),Isw 17/23,"ORG2,0",
230,,Iswid,US 16323_F4199(foye,Isw 17/29,"ORG2,0",
231,,Iswid,US 6712,Isw 2013/13,"ORG2,0",
232,,Iswid,US 6773,Isw 2013/7,"ORG2,0",
233,,Iswid,US 6803,Isw 2013/10,"ORG2,0",
234,,Iswid,US 6810,Isw 2013/5,"ORG2,0",
235,,Iswid,US 6827,Isw 2013/2,"ORG2,0",
236,,Iswid,US 6854,Isw 2013/4,"ORG2,0",
237,,Iswid,US 6863,Isw 2013/12,"ORG2,0",
238,,Iswid,US 6875,Isw 2013/14,"ORG2,0",
239,,Iswid,US 9036,Isw 2013/3,"ORG2,0",
240,,Iswid,US 9200,Isw 2013/1,"ORG2,0",
241,,Iswid,US 9321,Isw 2013/6,"ORG2,0",
242,,Iswid,US 9404_foyer 2093,Isw 2013/17,"ORG2,0",
243,,Iswid,US 9519,Isw 2013/11,"ORG2,0",
244,,Iswid,US 9859/9860,Isw 2013/16,"ORG2,0",
245,,Iswid,US 9870_foyer2163,1,"ORG2,0",
246,,Iswid,US 9880_foyer 2166,Isw 2013/19,"ORG2,0",
247,,18_0025,P16,18_0025_0003,"ORG1,0",nein
248,,18_0025,P18,18_0025_0004,"ORG1,0",nein
249,,18_0025,P20,18_0025_0005,"ORG1,0",nein
250,,18_0025,P5,18_0025_0001,"ORG1,0",nein
251,,18_0025,P6,18_0025_0002,"ORG1,0",nein
252,,19_0013,A11148,19_0013_0013,"ORG1,0",ja
253,,19_0013,A11148,19_0013_0014,"ORG1,0",ja
254,,19_0013,A11148,19_0013_0015,"ORG1,0",ja
255,,19_0013,A11148,19_0013_0020,"ORG1,0",ja
256,,19_0013,A479,19_0013_0010,"ORG1,0",ja
257,,19_0013,A479,19_0013_0011,"ORG1,0",ja
258,,19_0013,A479,19_0013_0012,"ORG1,0",ja
259,,19_0013,A479,19_0013_0019,"ORG1,0",ja
260,,19_0013,A6214,19_0013_0007,"ORG1,0",ja
261,,19_0013,A6214,19_0013_0008,"ORG1,0",ja
262,,19_0013,A6214,19_0013_0009,"ORG1,0",ja
263,,19_0013,A6214,19_0013_0018,"ORG1,0",ja
264,,19_0013,A8090,19_0013_0004,"ORG1,0",ja
265,,19_0013,A8090,19_0013_0005,"ORG1,0",ja
266,,19_0013,A8090,19_0013_0006,"ORG1,0",ja
267,,19_0013,A8090,19_0013_0017,"ORG1,0",ja
268,,19_0013,A9063,19_0013_0001,"ORG1,0",ja
269,,19_0013,A9063,19_0013_0002,"ORG1,0",ja
270,,19_0013,A9063,19_0013_0003,"ORG1,0",ja
271,,19_0013,A9063,19_0013_0016,"ORG1,0",ja
272,,19_0014,A10143,19_0014_0040,"ORG1,0",ja
273,,19_0014,A10153,19_0014_0037,"ORG1,0",ja
274,,19_0014,A10189,19_0014_0042,"ORG1,0",ja
275,,19_0014,A10229,19_0014_0039,"ORG1,0",ja
276,,19_0014,A10697,19_0014_0067,"ORG1,0",ja
277,,19_0014,A10990,19_0014_0055,"ORG1,0",ja
278,,19_0014,A11339,19_0014_0068,"ORG1,0",ja
279,,19_0014,A1196,19_0014_0044,"ORG1,0",ja
280,,19_0014,A12024,19_0014_0056,"ORG1,0",ja
281,,19_0014,A12024,19_0014_0057,"ORG1,0",ja
282,,19_0014,A12034,19_0014_0058,"ORG1,0",ja
283,,19_0014,A12435,19_0014_0069,"ORG1,0",ja
284,,19_0014,A13064,19_0014_0071,"ORG1,0",ja
285,,19_0014,A13200,19_0014_0041,"ORG1,0",ja
286,,19_0014,A13299,19_0014_0072,"ORG1,0",ja
287,,19_0014,A13837,19_0014_0060,"ORG1,0",ja
288,,19_0014,A15333,19_0014_0061,"ORG1,0",ja
289,,19_0014,A15344,19_0014_0074,"ORG1,0",ja
290,,19_0014,A15554,19_0014_0075,"ORG1,0",ja
291,,19_0014,A15736,19_0014_0059,"ORG1,0",ja
292,,19_0014,A16771,19_0014_0008,"ORG1,0",ja
293,,19_0014,A16783,19_0014_0005,"ORG1,0",ja
294,,19_0014,A17294,19_0014_0016,"ORG1,0",ja
295,,19_0014,A1875,19_0014_0046,"ORG1,0",ja
296,,19_0014,A1931,19_0014_0047,"ORG1,0",ja
297,,19_0014,A1998,19_0014_0048,"ORG1,0",ja
298,,19_0014,A2019,19_0014_0049,"ORG1,0",ja
299,,19_0014,A2029,19_0014_0050,"ORG1,0",ja
300,,19_0014,A2114,19_0014_0051,"ORG1,0",ja
301,,19_0014,A3019,19_0014_0052,"ORG1,0",ja
302,,19_0014,A3170,19_0014_0066,"ORG1,0",ja
303,,19_0014,A3650,19_0014_0053,"ORG1,0",ja
304,,19_0014,A4115,19_0014_0023,"ORG1,0",ja
305,,19_0014,A4365,19_0014_0054,"ORG1,0",ja
306,,19_0014,A5192,19_0014_0020,"ORG1,0",ja
307,,19_0014,A5213,19_0014_0019,"ORG1,0",ja
308,,19_0014,A5223,19_0014_0018,"ORG1,0",ja
309,,19_0014,A5254,19_0014_0029,"ORG1,0",ja
310,,19_0014,A5282,19_0014_0021,"ORG1,0",ja
311,,19_0014,A5294,19_0014_0022,"ORG1,0",ja
312,,19_0014,A5307,19_0014_0024,"ORG1,0",ja
313,,19_0014,A5334,19_0014_0063,"ORG1,0",ja
314,,19_0014,A6041,19_0014_0034,"ORG1,0",ja
315,,19_0014,A6135,19_0014_0015,"ORG1,0",ja
316,,19_0014,A6146,19_0014_0033,"ORG1,0",ja
317,,19_0014,A6157,19_0014_0035,"ORG1,0",ja
318,,19_0014,A6178,19_0014_0017,"ORG1,0",ja
319,,19_0014,A6194,19_0014_0025,"ORG1,0",ja
320,,19_0014,A7199,19_0014_0032,"ORG1,0",ja
321,,19_0014,A7253,19_0014_0014,"ORG1,0",ja
322,,19_0014,A7263,19_0014_0030,"ORG1,0",ja
323,,19_0014,A7294,19_0014_0013,"ORG1,0",ja
324,,19_0014,A7306,19_0014_0036,"ORG1,0",ja
325,,19_0014,A785,19_0014_0043,"ORG1,0",ja
326,,19_0014,A8079,19_0014_0007,"ORG1,0",ja
327,,19_0014,A8103,19_0014_0009,"ORG1,0",ja
328,,19_0014,A8114,19_0014_0011,"ORG1,0",ja
329,,19_0014,A8142,19_0014_0026,"ORG1,0",ja
330,,19_0014,A8178,19_0014_0031,"ORG1,0",ja
331,,19_0014,A8189,19_0014_0012,"ORG1,0",ja
332,,19_0014,A8234,19_0014_0010,"ORG1,0",ja
333,,19_0014,A9000,19_0014_0027,"ORG1,0",ja
334,,19_0014,A9052,19_0014_0028,"ORG1,0",ja
335,,19_0014,A9075,19_0014_0003,"ORG1,0",ja
336,,19_0014,A9111,19_0014_0001,"ORG1,0",ja
337,,19_0014,A9126,19_0014_0004,"ORG1,0",ja
338,,19_0014,A9199,19_0014_0006,"ORG1,0",ja
339,,19_0014,A957,19_0014_0064,"ORG1,0",ja
340,,19_0014,A973,19_0014_0065,"ORG1,0",ja
341,,19_0014,A9847,19_0014_0002,"ORG1,0",ja
342,,22_0005,11200,22_0005_0001,"ORG1,0",ja
343,,22_0005,11201,22_0005_0002,"ORG1,0",ja
344,,22_0005,11221,22_0005_0003,"ORG1,0",ja
345,,22_0005,12026,22_0005_0004,"ORG1,0",ja
346,,22_0005,200125,22_0005_0012,"ORG1,0",ja
347,,22_0005,200149,22_0005_0013,"ORG1,0",ja
348,,22_0005,200177,22_0005_0009,"ORG1,0",ja
349,,22_0005,200473,22_0005_0005,"ORG1,0",ja
350,,22_0005,200475,22_0005_0006,"ORG1,0",ja
351,,22_0005,23362,22_0005_0010,"ORG1,0",ja
352,,22_0005,23434,22_0005_0007,"ORG1,0",ja
353,,22_0005,23491,22_0005_0008,"ORG1,0",ja
354,,22_0005,23988,22_0005_0011,"ORG1,0",ja
355,,22_0015,A2076,22_0015_0017,"ORG1,0",
356,,22_0015,A2154,22_0015_0020,"ORG1,0",
357,,22_0015,A2874 G2976,22_0015_0014,"ORG1,0",
358,,22_0015,A4796,22_0015_0013,"ORG1,0",
359,,22_0015,M153 St 1,22_0015_0006,"ORG1,0",
360,,22_0015,M153 St 2,22_0015_0007,"ORG1,0",
361,,22_0015,M160 St 1,22_0015_0001,"ORG1,0",
362,,22_0015,M167 St 1,22_0015_0002,"ORG1,0",
363,,22_0015,M167 St 2,22_0015_0003,"ORG1,0",
364,,22_0015,M167 St 3,22_0015_0004,"ORG1,0",
365,,22_0015,M167 St 4,22_0015_0005,"ORG1,0",
366,,22_0015,M32 Undre del,2022_0015_0009,"ORG1,0",
367,,22_0015,M32 Övre del,2022_0015_0008,"ORG1,0",
368,,22_0015,M99 A5085,2022_0015_0010,"ORG1,0",
369,,22_0015,M99 A5085,2022_0015_0012,"ORG1,0",
370,,DanaBunar2,31,17 depth 0.10-0.20,"ORG1,0",ja
371,,DanaBunar2,31,17a depth 0.00-0.20,"ORG1,0",ja
372,,DanaBunar2,32,51 depth 0.00-0.10,"ORG1,0",ja
373,,DanaBunar2,32,52 depth 0.10-0.20,"ORG1,0",ja
374,,DanaBunar2,32,53 depth 0.00-0.10,"ORG1,0",ja
375,,DanaBunar2,33,18 depth 0.20-0.30,"ORG1,0",ja
376,,DanaBunar2,33,19 depth 0.00-0.10,"ORG1,0",ja
377,,DanaBunar2,33,20 depth 0.10-0.30,"ORG1,0",ja
378,,DanaBunar2,33,21 depth 0.30-0.40,"ORG1,0",ja
379,,DanaBunar2,33,22 depth 0.20-0.30,"ORG1,0",ja
380,,DanaBunar2,37,39 depth 0.10-0.20,"ORG1,0",ja
381,,DanaBunar2,37,40 depth 0.20-0.30,"ORG1,0",ja
382,,DanaBunar2,37,41 depth 0.00-0.10,"ORG1,0",ja
383,,DanaBunar2,37,42 depth 0.00-0.10,"ORG1,0",ja
384,,DanaBunar2,38,1 depth 0.48-0.58,"ORG1,0",ja
385,,DanaBunar2,38,2 depth 0.35-0.45,"ORG1,0",ja
386,,DanaBunar2,38,3 depth 0.35-0.45,"ORG1,0",ja
387,,DanaBunar2,38,4 depth 0.00-0.10,"ORG1,0",ja
388,,DanaBunar2,38,5 depth 0.30-0.50,"ORG1,0",ja
389,,DanaBunar2,39,47 depth 0.00-0.10,"ORG1,0",ja
390,,DanaBunar2,39,48 depth 0.10-0.20,"ORG1,0",ja
391,,DanaBunar2,41,44 depth 0.00-0.10,"ORG1,0",ja
392,,DanaBunar2,41,46 depth 0.30-0.40,"ORG1,0",ja
393,,DanaBunar2,42,10 depth 0.10-0.20,"ORG1,0",ja
394,,DanaBunar2,42,6 depth 0.00-0.10,"ORG1,0",ja
395,,DanaBunar2,42,7 depth 0.00-0.10,"ORG1,0",ja
396,,DanaBunar2,42,8 depth 0.10-0.20,"ORG1,0",ja
397,,DanaBunar2,42,9 depth 0.10-0.20,"ORG1,0",ja
398,,DanaBunar2,44,87 depth 0.06-0.16,"ORG1,0",ja
399,,DanaBunar2,44,88 depth 0.20-0.30,"ORG1,0",ja
400,,DanaBunar2,44,89 depth 0.30-0.40,"ORG1,0",ja
401,,DanaBunar2,44,90 depth 0.16-0.26,"ORG1,0",ja
402,,DanaBunar2,44,91 depth 0.10-0.20,"ORG1,0",ja
