system_id,ecological_behaviour_id,taxon_id,PCODE,F,F_s,F_u,K,K_u,L,L_u,N,N_u,Re,Re_u,S,S_u,SMet,T,T_u
1,,1,AECYN,5,,,3,,6,,6.0,,8,,0.0,,,6,
2,,2,ALNU,,,,,,,,,,,,,,,,
3,,3,APIAC,,,,,,,,,,,,,,,,
4,,4,ATRI,,,,,,,,,,,,,,,,
5,,5,CERA,,,,,,,,,,,,,,,,
6,,6,CHALB,4,,,x,,x,,7.0,,x,,0.0,,,x,
7,,7,FRVES,5,,,5,,7,,6.0,,x,,0.0,,,x,
8,,8,GAIS,,,,,,,,,,,,,,,,
9,,9,GLHEH,6,,,3,,6,,7.0,,x,,0.0,,,6,
10,,10,HELE,,,,,,,,,,,,,,,,
11,,11,PLMAJ,,,,,,,,,,,,,,,,
12,,12,POAVI,,,,,,7,,6.0,,x,,1.0,,,6,
13,,13,POLCO,,,,5,,7,,6.0,!,x,,0.0,,,6,
14,,14,POLPE,,,,,,,,,,,,,,,,
15,,15,PRPAD,8,Ü,,3,,5,,6.0,,7,,0.0,,,5,
16,,16,RANU,,,,,,,,,,,,,,,,
17,,17,RUIDA,x,,,x,,7,,6.0,,x,,0.0,,,x,
18,,18,SILE,,,,,,,,,,,,,,,,
19,,19,SOLA,,,,,,,,,,,,,,,,
20,,20,SPARV,5,,,3,,6,,6.0,,3,,0.0,,,5,
21,,21,STGRA,5,,,x,,6,,3.0,,4,,0.0,,,x,
22,,22,STMES,,,,,,,,,,,,,,,,
23,,23,TOJAP,5,,,3,,6,,8.0,,8,,0.0,,,6,
24,,24,URDIO,6,,,x,,x,,9.0,,7,,0.0,,,x,
25,,25,ALGLI,,,,,,,,,,,,,,,,
26,,26,BITRI,9,Ü,,x,,8,,8.0,,x,,0.0,,,6,
27,,27,COAVE,x,,,3,,6,,5.0,!,x,,0.0,,,5,
28,,28,FIULM,8,,,x,,7,,5.0,,x,,0.0,,,5,
29,,29,HULUP,8,Ü,,3,,7,,8.0,,6,,0.0,,,6,
30,,30,RAFIC,6,,,3,,4,,7.0,,7,,0.0,,,5,
31,,31,SCSIL,8,,,4,,6,,4.0,,4,,0.0,,,5,
32,,32,SIDIO,6,,,4,,x,,8.0,,7,,0.0,,,x,
33,,33,STAC,,,,,,,,,,,,,,,,
34,,34,STEL,,,,,,,,,,,,,,,,
35,,35,CARE,,,,,,,,,,,,,,,,
36,,36,INDET,,,,,,,,,,,,,,,,
37,,37,SPAR,,,,,,,,,,,,,,,,
38,,38,BETU,,,,,,,,,,,,,,,,
39,,39,FRAX,,,,,,,,,,,,,,,,
40,,40,PINU,,,,,,,,,,,,,,,,
41,,41,PRUN,,,,,,,,,,,,,,,,
42,,42,RUCRI,7,w,,3,,7,,6.0,,x,,0.0,,,5,
43,,43,AVSAT,,,,,,,,,,,,,,,,
44,,44,CEREA,,,,,,,,,,,,,,,,
45,,45,GASPU,5,,,5,,7,,5.0,,8,,0.0,,,x,
46,,46,HODIV,,,,,,,,,,,,,,,,
47,,47,HODVN,,,,,,,,,,,,,,,,
48,,48,HODVS,,,,,,,,,,,,,,,,
49,,49,LAMI,,,,,,,,,,,,,,,,
50,,50,POLAP,,,,8,,6,,8.0,,x,,0.0,,,6,
51,,51,CATRI,,,,,,,,,,,,,,,,
52,,52,POACE,,,,,,,,,,,,,,,,
53,,53,RUMAC,,,,3,,8,,2.0,!,2,,0.0,,s,5,
54,,54,THARV,5,,,x,,6,,6.0,,7,,0.0,,,5,
55,,55,GALI,,,,,,,,,,,,,,,,
56,,56,RUME,,,,,,,,,,,,,,,,
57,,57,SONIG,5,,,3,,7,,8.0,,7,,0.0,,,6,
58,,58,BRAS,,,,,,,,,,,,,,,,
59,,59,TRAED,,,,,,,,,,,,,,,,
60,,60,LIUSI,,,,,,,,,,,,,,,,
61,,61,MEDME,,,,,,,,,,,,,,,,
62,,62,TRIT,,,,,,,,,,,,,,,,
63,,6,CHALB,4,,,x,,x,,7,,x,,0.0,,,x,
64,,45,GASPU,5,,,5,,7,,5,,8,,0.0,,,x,
65,,20,SPARV,5,,,3,,6,,6,,3,,0.0,,,5,
66,,63,PRVUL,5,,!,3,,7,,x,,7,,0.0,,,x,
67,,64,MELI,,,,,,,,,,,,,,,,
68,,32,SIDIO,6,,,4,,x,,8,,7,,0.0,,,x,
69,,12,POAVI,,,,,,7,,6,,x,,1.0,,,6,
70,,50,POLAP,,,,8,,6,,8,,x,,0.0,,,6,
71,,13,POLCO,,,,5,,7,,6,!,x,,0.0,,,6,
72,,53,RUMAC,,,,3,,8,,2,!,2,,0.0,,s,5,
73,,65,VIOL,,,,,,,,,,,,,,,,
74,,66,FUOFF,5,,,3,,6,,7,,6,,0.0,,,6,
75,,67,PIEXC,x,,,6,,5,,x,,x,,0.0,,,3,!
76,,68,CENT,,,,,,,,,,,,,,,,
77,,69,EUHEL,5,,,3,,6,,7,,7,,0.0,,,x,
78,,70,FABAC,,,,,,,,,,,,,,,,
79,,71,JUCOC,4,,,x,,8,,x,,x,,0.0,,,x,
80,,72,PHLE,,,,,,,,,,,,,,,,
81,,73,POPER,5,,,3,,6,,7,,7,,0.0,,,6,
82,,74,POTE,,,,,,,,,,,,,,,,
83,,75,TRIF,,,,,,,,,,,,,,,,
84,,76,TYARU,8,w,,x,,7,,7,,7,,0.0,,,5,
85,,27,COAVE,x,,,3,,6,,5,!,x,,0.0,,,5,
86,,77,TRDSP,,,,,,,,,,,,,,,,
87,,78,ALCH,,,,,,,,,,,,,,,,
88,,42,RUCRI,7,w,,3,,7,,6,,x,,0.0,,,5,
89,,17,RUIDA,x,,,x,,7,,6,,x,,0.0,,,x,
90,,79,GALAS,,,,,,,,,,,,,,,,
91,,80,GAAPA,x,,,3,,7,,8,,6,,0.0,,,6,
92,,81,LAPIV,,,,,,,,,,,,,,,,
93,,82,CAMSA,4,,!,6,,7,,6,!,7,!,0.0,,,7,
94,,54,THARV,5,,,x,,6,,6,,7,,0.0,,,5,
95,,83,BROM,,,,,,,,,,,,,,,,
96,,84,CHEN,,,,,,,,,,,,,,,,
97,,85,CABIC,,,,,,,,,,,,,,,,
98,,1,AECYN,5,,,3,,6,,6,,8,,0.0,,,6,
99,,86,ALGLU,9,Ü,,3,,5,,x,,6,,1.0,,,5,
100,,87,ARCMI,5,,,3,,9,,8,,x,,0.0,,,5,
101,,88,ASTER,,,,,,,,,,,,,,,,
102,,89,BRSEC,x,,,3,,6,,x,,5,,0.0,,,6,
103,,90,CECYA,x,,,5,,7,,x,,x,,0.0,,,6,
104,,91,COMA,,,,,,,,,,,,,,,,
105,,7,FRVES,5,,,5,,7,,6,,x,,0.0,,,x,
106,,92,HEPAL,10,,,x,,8,,?,,x,,0.0,,,x,
107,,29,HULUP,8,Ü,,3,,7,,8,,6,,0.0,,,6,
108,,93,OXACE,5,,,3,,1,,6,,4,,0.0,,,x,
109,,94,POERE,x,,,3,,6,,2,,x,,0.0,,,x,
110,,95,RAARE,,,,,,,,,,,,,,,,
111,,96,RASCE,9,Ü,,x,,9,,9,,7,,2.0,,,6,
112,,97,RUFRU,,,,,,,,,,,,,,,,
113,,98,SCTAB,10,,,6,,8,,6,,9,,3.0,,,7,
114,,99,SISEL,x,w,,5,,7,,3,,7,,0.0,,,6,
115,,21,STGRA,5,,,x,,6,,3,,4,,0.0,,,x,
116,,24,URDIO,6,,,x,,x,,9,,7,,0.0,,,x,
117,,100,URURE,5,,,x,,7,,8,,x,,0.0,,,6,
118,,101,EUPEP,4,,,3,,6,,7,,x,,0.0,,,6,
119,,102,FICAR,,,,,,,,,,,,,,,,
120,,103,LUMUL,5,w,,4,!,7,,3,,5,,0.0,,,x,
121,,104,PAPA,,,,,,,,,,,,,,,,
122,,105,SANIG,5,,,3,,7,,9,,x,,0.0,,,5,
123,,106,SECER,,,,,,,,,,,,,,,,
124,,107,SODUL,8,w,,x,,7,,8,,x,,0.0,,,5,
125,,108,STPAL,9,w,,7,,5,,2,,4,,0.0,,,5,
126,,109,TARA,,,,,,,,,,,,,,,,
127,,110,HYNIG,4,,,x,,8,,9,,7,,0.0,,,6,
128,,111,SASAG,10,,,4,,7,,6,,7,,0.0,,,6,
129,,28,FIULM,8,,,x,,7,,5,,x,,0.0,,,5,
130,,112,POTA,,,,,,,,,,,,,,,,
131,,113,RUACE,x,,,x,,8,,6,,x,,0.0,,S,x,
132,,114,GEUM,,,,,,,,,,,,,,,,
133,,115,LEON,,,,,,,,,,,,,,,,
134,,116,METRI,9,Ü,,x,,8,,3,!,x,,0.0,,,x,
135,,117,RUMMA,,,,,,,,,,,,,,,,
136,,118,THFLA,8,w,,5,,7,,5,,8,,0.0,,,6,
137,,119,TRIEU,x,,,7,,5,,2,,3,,0.0,,,5,!
138,,120,CIRS,,,,,,,,,,,,,,,,
139,,121,ALOP,,,,,,,,,,,,,,,,
140,,122,CHAE,,,,,,,,,,,,,,,,
141,,123,SORB,,,,,,,,,,,,,,,,
142,,124,PRCER,,,,,,,,,,,,,,,,
143,,125,BEPUB,8,,!,x,,7,,3,,3,,0.0,,,x,
144,,126,CLIN,,,,,,,,,,,,,,,,
145,,127,PEDPA,9,Ü,,x,,8,,2,,x,,0.0,,,x,
146,,128,VICI,,,,,,,,,,,,,,,,
147,,129,FEALT,5,,,3,,3,,6.0,,4,,0.0,,,5,
148,,130,ARUVA,3,,,5,,6,,2.0,,x,,0.0,,,x,
149,,131,TRMOD,,,,,,,,,,,,,,,,
150,,132,VIVIN,4,,,3,!,9,,x,,7,,0.0,,,8,
151,,133,EUPH,,,,,,,,,,,,,,,,
152,,134,POOLE,4,,,3,,7,,7,,7,,0.0,,,8,
153,,135,TRDIC,,,,,,,,,,,,,,,,
154,,136,SEVEV,,,,,,,,,,,,,,,,
155,,137,SAMB,,,,,,,,,,,,,,,,
156,,138,TRMOC,,,,,,,,,,,,,,,,
157,,139,LECUL,,,,,,,,,,,,,,,,
158,,140,PAMIL,,,,,,,,,,,,,,,,
159,,141,PHPRP,,,,,,,,,,,,,,,,
160,,142,PISAT,,,,,,,,,,,,,,,,
161,,143,SCANA,5,,,4,,6,,5,,2,,0.0,,,5,
162,,144,CHRUB,6,,,x,,8,,9,,x,,1.0,!,,x,
163,,145,ECCRU,5,,,5,,6,,8,,x,,0.0,,,7,
164,,146,LITAR,x,,,5,,5,,5,,7,,0.0,,,6,
165,,147,MALV,,,,,,,,,,,,,,,,
166,,148,VIERV,,,,,,,,,,,,,,,,
167,,149,CUMSA,,,,,,,,,,,,,,,,
168,,150,LACIS,,,,,,,,,,,,,,,,
169,,151,LABIA,,,,,,,,,,,,,,,,
170,,152,SEITA,4,,!,5,!,8,,8,!,7,,0.0,,,8,
171,,153,MEDI,,,,,,,,,,,,,,,,
172,,154,Laleib,,,,,,,,,,,,,,,,
173,,155,SALV,,,,,,,,,,,,,,,,
174,,156,SCHO,,,,,,,,,,,,,,,,
175,,157,SEGLA,4,,,4,,7,,6,,5,,0.0,,,7,
176,,158,SETA,,,,,,,,,,,,,,,,
177,,159,HOVUL,,,,,,,,,,,,,,,,
178,,160,LOTEM,4.0,,,3,,7.0,,x,,8,,0.0,,,7.0,
179,,161,Phami,,,,,,,,,,,,,,,,
180,,50,POLAP,,,,8,,6.0,,8,,x,,0.0,,,6.0,
181,,162,LOLI,,,,,,,,,,,,,,,,
182,,163,PHAL,,,,,,,,,,,,,,,,
183,,164,Polypo,,,,,,,,,,,,,,,,
184,,165,ACAC,,,,,,,,,,,,,,,,
185,,166,ANGMO,,,,,,,,,,,,,,,,
186,,167,CYPE,,,,,,,,,,,,,,,,
187,,168,CYPER,,,,,,,,,,,,,,,,
188,,169,PHRA,,,,,,,,,,,,,,,,
189,,170,Rucrden,,,,,,,,,,,,,,,,
190,,171,SOLAN,,,,,,,,,,,,,,,,
191,,172,TAMA,,,,,,,,,,,,,,,,
192,,173,CUMEL,,,,,,,,,,,,,,,,
193,,174,HOVUS,,,,,,,,,,,,,,,,
194,,175,VICKF,,,,,,,,,,,,,,,,
195,,176,FABAK,,,,,,,,,,,,,,,,
196,,177,LahVi,,,,,,,,,,,,,,,,
197,,132,VIVIN,4.0,,,3,!,9.0,,x,,7,,0.0,,,8.0,
198,,178,CYROT,,,,,,,,,,,,,,,,
199,,179,HORD4,,,,,,,,,,,,,,,,
200,,180,POGO,,,,,,,,,,,,,,,,
201,,181,VIHIT,,,,,,,,,,,,,,,,
202,,182,ISOL,,,,,,,,,,,,,,,,
203,,183,BOLB,,,,,,,,,,,,,,,,
204,,184,LAHIR,4.0,,,4,,7.0,,x,,7,,0.0,,,6.0,
205,,185,Fisyc,,,,,,,,,,,,,,,,
206,,186,Anpse,,,,,,,,,,,,,,,,
207,,187,Cornilot,,,,,,,,,,,,,,,,
208,,188,Glilot,,,,,,,,,,,,,,,,
209,,189,HORD,,,,,,,,,,,,,,,,
210,,190,LITH,,,,,,,,,,,,,,,,
211,,191,Aelur,,,,,,,,,,,,,,,,
212,,192,ANGRA,,,,,,,,,,,,,,,,
213,,193,Ficus,,,,,,,,,,,,,,,,
214,,194,FIMB,,,,,,,,,,,,,,,,
215,,195,Oryzm,,,,,,,,,,,,,,,,
216,,196,Pelaplan,,,,,,,,,,,,,,,,
217,,197,SCORP,,,,,,,,,,,,,,,,
218,,198,BRASS,,,,,,,,,,,,,,,,
219,,199,ORIG,,,,,,,,,,,,,,,,
220,,200,ORNI,,,,,,,,,,,,,,,,
221,,201,HIVUL,10.0,,,x,,7.0,,x,,8,,0.0,,,5.0,
222,,202,ZIJUJ,,,,,,,,,,,,,,,,
223,,203,DIGI,,,,,,,,,,,,,,,,
224,,204,ECHSE,,,,,,,,,,,,,,,,
225,,205,MEDTR,,,,,,,,,,,,,,,,
226,,206,VITET,5.0,,,5,,6.0,,5,,5,,0.0,,,6.0,
227,,145,ECCRU,5.0,,,5,,6.0,,8,,x,,0.0,,,7.0,
228,,207,PULI,,,,,,,,,,,,,,,,
229,,208,ARNE,,,,,,,,,,,,,,,,
230,,209,CHENO,,,,,,,,,,,,,,,,
231,,210,SHER,,,,,,,,,,,,,,,,
232,,211,PANIC,,,,,,,,,,,,,,,,
233,,212,LINU,,,,,,,,,,,,,,,,
234,,213,JUNC,,,,,,,,,,,,,,,,
235,,214,PORT,,,,,,,,,,,,,,,,
236,,215,ANCOT,4.0,,,3,,7.0,,5,,x,,0.0,,,6.0,
237,,216,AMVIS,,,,,,,,,,,,,,,,
238,,217,BEERE,10.0,,,3,,8.0,,6,,8,,1.0,,,6.0,
239,,218,CAPP,,,,,,,,,,,,,,,,
240,,219,GYMNO,,,,,,,,,,,,,,,,
241,,220,VITI,,,,,,,,,,,,,,,,
